Activity;Physical;Mental;Location;Leaving
Do yoga;3;2;Inside;No
Read a book;1;3;Inside;No
Read a book in a café;3;3;Inside;Yes
Go for a walk;3;1;Outside;Yes
Go to gym;5;2;Inside;Yes
Meet up with friends;3;4;Inside;Yes
Cook a proper meal;3;4;Inside;No
Sit in the sun;1;1;Outside;Yes
Paint something;2;2;Inside;No
Go for a run;4;4;Outside;Yes
Lay on the couch;1;1;Inside;No
Visit a museum;3;3;Inside;Yes
Take a shower;1;1;Inside;No
Get a massage;1;1;Inside;Yes
Listen to new music;1;2;Inside ;No
Call a friend;2;3;Inside;No
Journal;2;3;Inside;No
Go to a playground;3;2;Outside;Yes
Meditate;1;2;Inside;No
Dance in your room;3;2;Inside;No
Go to the cinema;1;2;Inside;Yes
Listen to a podcast;1;3;Inside;No
Make a playlist ;2;4;Inside;No
Write a letter to a loved one;2;4;Inside;No
Explore your neighborhood ;3;2;Outside;Yes
Sing out loud;2;2;Inside;No
Go swimming;4;2;Outside;Yes
Watch your favorite tv show;1;2;Inside;No
Go for a bike ride;3;2;Outside;Yes
